2000,1000,1,15.00,2018-11-19,2018-11-21,10,900005
2000,1001,1,105.00,2018-11-28,2018-11-29,23,900011
2000,1000,12,15.00,2018-11-28,2018-11-29,23,900011
2000,1002,1,33.00,2018-11-28,2018-11-29,23,900011
2003,1002,1,33.00,2018-12-05,2018-12-06,23,900013
2003,1001,1,105.00,2018-12-05,2018-12-06,23,900013
2003,1000,1,15.00,2018-12-05,2018-12-06,23,900013
2003,4001,1,325.33,2018-12-05,2018-12-06,23,900013
2003,4002,1,126.09,2018-12-05,2018-12-06,23,900013
2000,1001,1,105.00,2018-11-27,2018-11-28,8,900017
2000,1002,1,105.00,2018-11-27,2018-11-28,8,900017
2000,1001,1,105.00,2018-12-09,2018-12-10,8,900018
2000,1007,4,25.00,2018-12-09,2018-12-10,8,900018
2002,1007,2,25.00,2018-12-11,2018-12-12,8,900019
2002,4006,10,125.00,2018-12-11,2018-12-12,8,900019
